id,area,floor,max_floor,type,wall_type,rooms,region,year,price
4435,82.1,5,16,Новостройки,монолитный,3,Дзержинский,2018,3640230
4436,38.0,5,16,Новостройки,панельный,1,Дзержинский,2018,1730774
4437,43.5,1,3,Вторичка,кирпичный,2,Заволжский,,529871
4438,40.0,3,4,Вторичка,кирпичный,1,Красноперекопский,,2500000
4439,64.0,5,5,Вторичка,панельный,3,Дзержинский,,2300000
4440,44.3,8,8,Новостройки,кирпичный,1,Красноперекопский,,2213000
4441,42.2,7,8,Новостройки,кирпичный,1,Красноперекопский,,2300000
4442,145.7,8,8,Вторичка,кирпичный,4,Красноперекопский,2018,6700000
4443,46.2,16,17,Вторичка,монолитный,1,Фрунзенский,,2650000
4444,96.3,7,8,Новостройки,кирпичный,3,Красноперекопский,,4816000
4445,71.6,4,8,Новостройки,кирпичный,2,Красноперекопский,,3582000
4446,98.0,4,5,Вторичка,кирпичный,3,Ленинский,,5600000
4447,47.0,4,13,Вторичка,кирпичный,2,Дзержинский,2016,2800000
4448,38.0,7,10,Вторичка,монолитный,1,Дзержинский,,2000000
4449,48.0,3,4,Вторичка,кирпичный,2,Ленинский,,2400000
4450,100.2,6,6,Новостройки,монолитный,3,Фрунзенский,,5513200
4451,48.0,15,17,Вторичка,монолитный,1,Ленинский,,3270000
4452,94.0,2,10,Новостройки,панельный,3,Фрунзенский,,7350000
4453,52.0,6,10,Новостройки,кирпичный,2,Ленинский,,3120000
4454,32.7,5,5,Вторичка,кирпичный,1,Фрунзенский,,1600000
4455,44.0,3,5,Вторичка,панельный,2,Заволжский,,1600000
4456,34.1,10,18,Вторичка,монолитный,1,Дзержинский,,1900000
4457,38.5,5,12,Вторичка,панельный,1,Фрунзенский,,1750000
4458,33.0,5,9,Вторичка,кирпичный,1,Ленинский,1966,1650000
4459,61.0,3,9,Вторичка,кирпичный,3,Кировский,1971,3700000
4460,64.0,7,10,Вторичка,панельный,3,Дзержинский,,2700000
4461,41.5,5,5,Вторичка,кирпичный,2,Кировский,,2900000
4462,41.0,1,5,Вторичка,кирпичный,1,Кировский,,4300000
4463,64.0,3,5,Вторичка,панельный,3,Дзержинский,,2750000
4464,40.6,2,9,Вторичка,кирпичный,2,Фрунзенский,1976,2100000
4465,38.0,1,3,Вторичка,кирпичный,1,Фрунзенский,,1600000
4466,48.8,3,7,Вторичка,кирпичный,1,Заволжский,2010,2300000
4467,60.5,2,5,Вторичка,кирпичный,3,Фрунзенский,,3030000
4468,35.8,9,12,Вторичка,панельный,1,Фрунзенский,,2060000
4469,44.0,3,5,Вторичка,кирпичный,2,Красноперекопский,,2270000
4470,74.4,1,3,Вторичка,кирпичный,3,Заволжский,,3850000
4471,38.0,1,17,Вторичка,кирпичный,1,Красноперекопский,,2050000
4472,43.5,1,9,Вторичка,кирпичный,2,Дзержинский,1978,2400000
4473,33.0,7,9,Вторичка,кирпичный,1,Фрунзенский,,2150000
4474,46.0,6,9,Новостройки,кирпичный,1,Дзержинский,,2150000
4475,42.0,6,6,Новостройки,кирпичный,1,Фрунзенский,,2225000
4476,61.5,5,10,Вторичка,кирпичный,3,Красноперекопский,,3200000
4477,53.0,5,5,Вторичка,кирпичный,3,Фрунзенский,,1880000
4478,32.7,2,2,Вторичка,кирпичный,1,Заволжский,,500000
4479,31.0,7,9,Вторичка,панельный,1,Дзержинский,1980,1210000
4480,88.1,2,2,Вторичка,панельный,4,Кировский,,2690000
4481,384.0,2,3,Вторичка,кирпичный,5,Кировский,,41500000
4482,75.0,3,3,Вторичка,кирпичный,2,Фрунзенский,2014,3950000
4483,80.0,3,9,Вторичка,кирпичный,4,Фрунзенский,,3400000
4484,72.0,18,18,Новостройки,монолитный,2,Ленинский,,4120000
4485,30.0,18,18,Новостройки,кирпичный,1,Красноперекопский,,2000000
4486,37.0,1,2,Вторичка,кирпичный,2,Фрунзенский,,1500000
4487,50.0,10,19,Новостройки,монолитный,1,Ленинский,,2900000
4488,94.0,17,18,Новостройки,кирпичный,3,Ленинский,,5181000
4489,40.2,2,16,Новостройки,кирпичный,1,Заволжский,,1681000
4490,39.0,1,19,Новостройки,кирпичный,1,Дзержинский,,1769000
4491,46.0,1,5,Вторичка,панельный,2,Дзержинский,,1790000
4492,75.6,3,9,Новостройки,кирпичный,2,Фрунзенский,,2797000
4493,44.0,1,5,Вторичка,кирпичный,2,Фрунзенский,1971,2200000
4494,57.2,2,6,Новостройки,кирпичный,2,Заволжский,,2543600
4495,63.0,5,5,Вторичка,панельный,3,Заволжский,,1850000
4496,51.7,8,8,Вторичка,кирпичный,1,Дзержинский,,2000000
4497,31.6,4,9,Вторичка,кирпичный,1,Кировский,,2550000
4498,43.0,1,5,Новостройки,кирпичный,студии,Фрунзенский,,2550000
4499,79.6,10,10,Вторичка,панельный,3,Фрунзенский,,3850000
4500,23.0,7,9,Вторичка,панельный,1,Дзержинский,1980,970000
4501,71.2,6,17,Новостройки,монолитный,3,Фрунзенский,,3702400
4502,34.3,2,6,Новостройки,кирпичный,1,Заволжский,,1502100
